-0.069048,0.067817,-0.16387
-0.10506,0.10522,-0.17545
-0.13966,0.14137,-0.19305
-0.1718,0.17502,-0.18458
-0.19981,0.205,-0.16385
-0.22311,0.23032,-0.12636
-0.24002,0.25014,-0.1092
-0.25009,0.26387,-0.095848
-0.25392,0.27117,-0.058232
-0.25076,0.27192,0.0077057
-0.2416,0.2663,0.10629
-0.22551,0.25469,0.088315
-0.20284,0.2377,-0.030131
-0.17693,0.21613,-0.031499
-0.14867,0.19086,0.13485
-0.11752,0.16289,0.28041
-0.083987,0.13324,0.26467
-0.049166,0.10291,0.17944
-0.015937,0.072828,0.18008
0.014799,0.043794,0.27862
0.043424,0.016493,0.37539
0.069936,-0.0086021,0.36675
0.093511,-0.031192,0.36756
0.11395,-0.051171,0.39417
0.13125,-0.068644,0.37691
0.14614,-0.083845,0.37075
0.15837,-0.097195,0.38021
0.16838,-0.10922,0.41679
0.17731,-0.1205,0.4574
0.18597,-0.13167,0.43608
0.19509,-0.14335,0.4099
0.20502,-0.15611,0.42003
0.21597,-0.17041,0.41525
0.22951,-0.18664,0.37019
0.24506,-0.20502,0.31157
0.26251,-0.22562,0.27645
0.28209,-0.24836,0.26309
0.30311,-0.27301,0.27781
0.32608,-0.29919,0.27105
0.35082,-0.32637,0.21951
0.37572,-0.35398,0.15
0.40083,-0.38137,0.082247
0.42464,-0.40785,0.040089
0.44593,-0.43275,0.089867
0.46474,-0.45539,0.16311
0.48058,-0.47522,0.21007
0.49358,-0.49171,0.20835
0.50357,-0.5045,0.15076
0.50847,-0.5133,0.14228
0.50901,-0.51795,0.19137
0.50479,-0.51837,0.2539
0.49701,-0.51463,0.22251
0.48605,-0.50685,0.091358
0.47055,-0.49519,0.016941
0.45112,-0.47989,0.017655
0.42831,-0.46119,0.067094
0.40167,-0.43928,0.13591
0.37309,-0.41437,0.14388
0.342,-0.3866,0.097786
0.3085,-0.35606,0.019115
0.27255,-0.32281,-0.066467
0.23337,-0.28682,-0.090245
0.19164,-0.24808,-0.078193
0.14766,-0.2065,-0.068614
0.10058,-0.16204,-0.078644
0.051174,-0.11468,-0.088668
-0.0012538,-0.064467,-0.093427
-0.056387,-0.011518,-0.10014
-0.11456,0.043906,-0.036783
-0.1752,0.10144,0.032485
-0.23575,0.16055,-0.053061
-0.29457,0.22055,-0.37244
-0.35413,0.28065,-0.61521
-0.4152,0.33986,-0.47832
-0.47504,0.39713,-0.22953
-0.52954,0.45131,-0.20004
-0.57675,0.50124,-0.42582
-0.61891,0.54573,-0.56911
-0.65543,0.58369,-0.50762
-0.68402,0.61412,-0.39478
-0.70365,0.63623,-0.33878
-0.71239,0.64941,-0.42896
-0.71241,0.6533,-0.45043
-0.70298,0.64785,-0.46454
-0.684,0.63328,-0.46735
-0.65721,0.61016,-0.40226
-0.62238,0.57932,-0.32035
-0.58044,0.54189,-0.26274
-0.53242,0.49922,-0.30319
-0.48012,0.45285,-0.36342
-0.42706,0.40447,-0.29987
-0.37391,0.35578,-0.22573
-0.32155,0.30852,-0.2155
-0.27286,0.2643,-0.21994
-0.22822,0.22458,-0.2674
-0.1903,0.19063,-0.23132
-0.15959,0.16338,-0.2131
-0.1365,0.14345,-0.17719
-0.12262,0.13111,-0.062465
-0.11537,0.12626,-0.1143
-0.11448,0.12843,-0.2692
-0.12025,0.1368,-0.43005
-0.13204,0.15025,-0.44898
-0.14861,0.16739,-0.323
-0.16659,0.18665,-0.30447
-0.18432,0.20633,-0.30099
-0.20134,0.22472,-0.23584
